id,text,pub_date,relevance
1252717612854804483,@CarnivalCruise Need a response why my wife and I haven’t received full refund requested in March for Covid 19 cruise cancellations. Recvd emails that customers could cancel cruises &amp; get full refund. Now told 3 months or more by customer svc. Why?! #carnivalcruise,2020-04-21 21:55:27+00:00,1
1252662651622002688,"RT @PopularCruising: To Support Agents, @CarnivalCruise Increases Commissions and Maintains Rates Into 2021 https://t.co/kCw9kJO5ao via @Tr…",2020-04-21 18:17:04+00:00,1
1251508006618976256,@CarnivalCruise offer a cruise for those of us who have already been infected.   Let’s get this party started!!!!!,2020-04-18 13:48:55+00:00,1
1252973277091254274,Shame on you @CarnivalCruise. Refusing to refund deposit money to guests when they tell you they can't take a cruise for risk of COVID 19. Then tell me a guest relations specialist is the highest management member available to me!!!,2020-04-22 14:51:23+00:00,1
1252965128351318020,RT @KeyWestAuthor: @JuliaAngelenPR @CruiseLaw @CarnivalCruise People who live in destination port cities have known this for years. Cruise…,2020-04-22 14:19:00+00:00,1
1250845791104708611,@CarnivalCruise I will never set foot on one of your cruise ships again.  For so many reasons.,2020-04-16 17:57:30+00:00,1
1252960859950682117,RT @KeyWestAuthor: @JuliaAngelenPR @CruiseLaw @CarnivalCruise People who live in destination port cities have known this for years. Cruise…,2020-04-22 14:02:02+00:00,1
1252958179937443841,I’m losing hope with the generic robotic answers @CarnivalCruise it’s been a month still no refund on my cruise on my excursions or my fun shop like come on rep told 7-10 days it’s been over a month,2020-04-22 13:51:23+00:00,1
1252957741271916544,RT @KeyWestAuthor: @JuliaAngelenPR @CruiseLaw @CarnivalCruise People who live in destination port cities have known this for years. Cruise…,2020-04-22 13:49:39+00:00,1
1252957015804186624,@CarnivalCruise once the online form is processed and cruise has been officially canceled does that mean refund has been issued?,2020-04-22 13:46:46+00:00,1
